headline,sentiment,predicted_sentiment
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,positive
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,neutral
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,positive
All are welcome .,neutral,neutral
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,neutral
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,neutral
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,positive
- Profit before taxes was EUR 105.9 82.7 million .,neutral,neutral
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,positive
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,neutral
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,positive
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,neutral
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,negative
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,positive
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,neutral
InterContinental Hotels first-quarter global room revenue lags estimates,negative,negative
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,neutral
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,positive
"L&G still paying price for dividend cut during crisis, chief says",negative,neutral
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,neutral
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,neutral
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,positive
Profit of the accounting period was EUR 0.3 mn .,neutral,positive
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,positive
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,positive
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,positive
Tesco share price jumps as Q3 sales top estimates,positive,positive
The fine print is here .,neutral,neutral
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,positive
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,neutral
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,negative
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,neutral
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,neutral
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,positive
The firm generated sales of 187 mln eur in 2005 .,neutral,neutral
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,neutral
AstraZeneca profit down as sales of stalwarts fade,negative,negative
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,neutral
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,positive
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,negative
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,neutral
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,positive
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,negative
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,neutral
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,positive
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,positive
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,negative
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,negative
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,neutral
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,positive
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,negative
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,positive
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,neutral
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,negative
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,neutral
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,positive
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,negative
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,negative
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,positive
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,neutral
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,negative
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,neutral
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,neutral
$YANG Double bottom 5.2,positive,positive
Tesco share price down as grocer faces SFO investigation outcome,negative,negative
$aapl news is becoming very bullish again http://stks.co/tMU,positive,positive
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,neutral
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,neutral
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,neutral
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,neutral
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,neutral
$TSLA recall,negative,negative
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,neutral
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,positive
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,neutral
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,negative
The value of the orders is over EUR 10mn .,neutral,neutral
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,neutral
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,neutral
Aberdeen Asset Management Gains Foothold In China,positive,positive
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,neutral
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,neutral
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,neutral
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,neutral
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,neutral
$GOOGL is a short below 740 into the upper BB and is overbought,negative,neutral
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,neutral
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,negative
The total value of the contract is some EUR 8 million .,neutral,neutral
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,neutral
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,neutral
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,positive
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,neutral
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,positive
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,neutral
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,positive
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,neutral
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,positive
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,negative
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,positive
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,neutral
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,positive
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,neutral
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,neutral
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,negative
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,neutral
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,neutral
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,neutral
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,positive
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,positive
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,positive
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,neutral
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,neutral
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,neutral
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,neutral
The plant is expected to enter commercial operation by mid-2009 .,neutral,neutral
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,neutral
BG Group appoints new CEO one month early,neutral,neutral
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,positive
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,neutral
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,positive
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,positive
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,positive
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,positive
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,neutral
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,positive
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,negative
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,positive
$VMW  Got a nice push today following small sweepers of May C this morning,positive,positive
That topped consensus forecasts for earnings of 0.21 euros a share .,positive,positive
R&D Loan ) .,neutral,neutral
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,neutral
"You need to be ready when the window opens up , Rosberg said .",neutral,neutral
"More than 50,000 tonnes of asphalt mix will be used in the contract .",neutral,neutral
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral,neutral
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive,positive
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral,neutral
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,negative
Nordea was the cheapest also for a couple in their 30s with debt .,neutral,neutral
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",neutral,neutral
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative,negative
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,neutral
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",neutral,neutral
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,positive
The solution will now be expanded to include all ground staff tasks .,neutral,neutral
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,negative
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,positive
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,neutral
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,neutral,neutral
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,positive
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive,positive
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,neutral
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral,neutral
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,neutral
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,positive
The company expects its net sales for the whole 2009 to be at previous year levels .,neutral,neutral
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",neutral,neutral
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral,neutral
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,negative
"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",neutral,neutral
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",neutral,neutral
The main strength of the cooperation project lies in merging the know-how of two large companies .,positive,neutral
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,neutral,neutral
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,positive,neutral
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",neutral,negative
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,neutral,neutral
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,neutral,neutral
Full-year operating result for 2008 was 3.6 million negative .,neutral,negative
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative,neutral
"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .",neutral,neutral
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,positive
We offer our customers solutions based on renewable raw materials .,neutral,positive
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,neutral,neutral
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",neutral,neutral
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,positive,positive
We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,neutral,neutral
"The Company serves approximately 3,000 customers in over 100 countries .",neutral,neutral
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,negative,neutral
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",neutral,negative
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive,neutral
HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .,neutral,neutral
Just went long $ILMN,positive,positive
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,neutral,neutral
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,neutral,neutral
Johnson Matthey share price slumps as company posts full-year results,negative,negative
There have not been previous share subscriptions with 2004 stock options .,neutral,neutral
AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,neutral,neutral
"The closing of the transaction is scheduled to take place on January 10 , 2008 .",neutral,neutral
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral,neutral
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",neutral,negative
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,neutral,negative
Net sales in 2008 are expected to be on the same level as in 2007 .,neutral,neutral
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive,positive
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",negative,neutral
N-Viro operates processing facilities independently as well as in partnership with municipalities .,neutral,neutral
The number of bodily injury cases quadrupled in 2000-2006 .,negative,neutral
"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive,positive
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,positive,neutral
And U.S. energy executives say high steel prices are threatening energy exploration .,negative,negative
Tesco sales rise shows tentative recovery continues,positive,positive
"In Finland , the launch of tie-in sales of 3G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days .",neutral,neutral
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive,positive
"The company can be split into two parts over the coming months , with Essent owning and operating production and supply , and Enexis owning and operating the grid .",neutral,neutral
Officials did not disclose the contract value .,neutral,neutral
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive,positive
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",neutral,negative
"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",neutral,negative
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative,neutral
The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .,neutral,positive
Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,positive,positive
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative,negative
"$TSLA steaming up again, this stock is relentless at the moment",positive,positive
Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,neutral,positive
Whitbread share price climbs on Q4 sales growth,positive,positive
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,neutral,neutral
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive,neutral
"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",neutral,neutral
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",negative,neutral
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",positive,positive
"Thus the method will cut working costs , and will fasten the planning and building processes .",positive,positive
Talentum 's net sales in September were smaller than expected .,negative,negative
COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,neutral,neutral
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,negative,neutral
RBS will reportedly appoint Howard Davies as its next chairman,neutral,neutral
"Tesco, Asda sales fall as march of the discounters continues-Kantar",negative,negative
`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,neutral,neutral
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral,neutral
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive,positive
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,neutral,neutral
Altogether Finnair has canceled over 500 flights because of the strike .,negative,negative
"The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .",neutral,neutral
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,neutral,neutral
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,neutral,neutral
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",neutral,negative
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive,neutral
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",neutral,neutral
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive,positive
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",positive,positive
